selling_price,seller_type,Km_driven,owner_type,fuel_type,transmission_type,Mileage_KMpH,Engine_cc,max_power_bhp,Seats,No_year
2.75,100,70000,100,200,100,21.12,1248,88.8,5,11
5.5,100,40000,100,100,100,18.6,1197,81.83,5,6
4.45,100,60000,100,100,100,22,1197,81.8,5,5
7.05,200,67231,100,200,100,14,2179,138.1,7,9
2.7,200,64000,100,300,100,33.54,998,67.04,5,9
4.2,200,142587,100,200,100,23.08,1461,63.1,5,10
4.75,200,63000,100,200,100,26,1498,98.6,5,8
3.5,200,55000,100,100,100,16.9,1497,100,5,11
5.75,200,11000,100,100,100,18.6,1197,81.83,5,6
4.66,200,66000,100,200,100,23.59,1364,67.06,5,6
3.6,100,17000,100,100,100,23.01,999,67,5,5
2.75,100,25000,100,100,100,24.7,796,47.3,5,5
3.2,100,33350,100,100,100,19.44,1198,67,7,6
3.7,200,62000,100,100,100,18.9,1197,82,5,7
2.5,100,30000,100,100,100,19.4,1198,86.8,5,9
2.75,100,59000,100,100,100,17.5,1298,85.8,5,13
5.5,200,86113,100,100,100,17.4,1497,117.3,5,8
13.25,200,45000,100,200,100,21.43,1364,87.2,5,6
7.5,100,10000,100,200,100,28.4,1248,74.02,5,4
2.9,200,70000,100,100,100,18.06,1198,75,5,11
2.72,100,92537,100,100,100,20.51,998,67.04,5,7
9.51,200,27645,100,200,100,28.09,1248,88.5,5,3
2.8,100,46242,100,100,100,20.92,998,67.1,5,9
5.45,100,70000,100,100,100,16.8,1497,116.3,5,9
4.5,100,6000,100,100,100,22.3,799,53.26,5,2
4.8,200,64000,100,100,100,18.6,1197,81.83,5,5
10.6,200,93000,100,200,100,15.4,1997,120,7,5
2.35,200,26200,100,100,100,22.74,796,47.3,5,9
5.9,100,25000,100,100,100,21.4,1197,83.1,5,5
7.5,100,80000,100,200,100,18.49,1493,100,7,5
4.5,100,70000,100,200,100,18.49,1493,100,7,6
1.1,100,80000,100,100,100,17.92,1086,62.1,5,14
2.8,100,110000,100,200,100,13.5,2179,115,5,15
18.51,200,55000,100,100,200,17.84,1395,147.51,5,6
7.5,100,25000,100,100,100,17.4,1497,117.3,5,4
4,200,36000,100,100,100,18.9,1197,81.86,5,7
5.3,100,40000,100,200,100,26.59,1248,74,5,7
8.7,100,25000,100,200,100,16.55,2498,105,6,4
2.95,200,30038,100,100,100,25.17,799,53.3,5,4
3.7,100,53000,100,200,100,27.28,1047,69,5,5
5.3,100,5000,100,100,100,21.21,1197,81.8,5,4
6,100,41217,100,200,100,24.4,1120,71,5,8
3.5,100,35000,100,100,200,24.04,999,67,5,5
4.7,200,62000,100,200,100,22.7,1498,89.84,5,9
3.9,100,42000,100,200,100,25.83,1498,99,5,7
9.2,100,80000,100,200,100,15.4,2179,120,7,7
5.5,100,60000,100,200,100,15.1,2179,140,7,9
6.35,100,45000,100,200,100,22.32,1582,126.32,5,8
12.5,200,50000,100,200,200,16,2179,140,7,5
3,100,12000,100,100,100,24.7,796,47.3,5,4
9.6,100,12000,100,100,200,18,1497,117.6,5,4
7.5,100,15000,100,200,100,24.3,1248,88.5,5,4
2.49,200,63000,100,100,100,16.47,1198,73.9,5,11
14,100,30000,100,200,100,17.6,2179,153.86,7,4
6.1,100,120000,100,200,100,22.32,1582,126.32,5,8
1.65,200,62821,100,100,100,18.2,998,67.1,5,12
5.45,200,78247,100,200,100,21.7,1498,98.96,5,6
4.8,100,113000,100,200,100,22.32,1582,126.3,5,9
3.95,200,52000,100,100,100,18.6,1197,81.83,5,8
4.95,200,109000,100,200,100,12.99,2494,100.6,7,10
4.7,100,90000,100,100,100,18.9,1197,82,5,5
2,100,35000,100,100,100,16.84,1193,64.4,5,11
2.8,100,90000,100,200,100,17,1896,105,5,12
1.49,200,62001,100,100,100,14.4,1399,94,5,14
2,200,98000,100,200,100,22.07,1199,73.9,5,11
6.99,100,20000,100,200,100,21.19,1396,88.73,5,6
3.15,200,57000,100,100,100,14.28,1798,138.03,5,12
3.4,100,21717,100,100,100,20.51,998,67.04,5,8
5,100,40000,100,200,100,20.45,1461,83.8,5,8
10.5,100,50000,100,100,100,17.14,1497,117.6,5,5
6,100,90000,100,200,100,19.6,1461,108.45,5,6
4.78,100,90000,100,200,100,20.5,1248,91.72,5,5
4.91,200,27876,100,100,100,20.4,1197,81.8,5,5
1.6,100,57215,100,100,100,20.36,1197,78.9,5,14
9.85,200,5400,100,100,100,18.27,998,118.35,5,3
5,100,60000,100,200,100,23.4,1248,74,5,8
3.35,100,24800,100,100,100,23.84,1199,84,5,5
9.5,200,59450,100,200,100,21.9,1498,98.6,7,6
7.4,200,20000,100,100,200,17.1,1199,88.51,5,4
2,100,90000,100,200,100,17,1405,71,5,12
3.75,200,34553,100,100,100,22,1197,81.8,5,9
8.1,100,40000,100,200,100,24.3,1248,88.5,5,4
7,100,50000,100,200,100,24.3,1248,88.5,5,5
3.1,100,70000,100,200,100,25.32,1198,77,6,6
8.5,100,120000,100,200,100,15.4,1997,120,7,5
2.85,100,90000,100,200,100,22.54,1396,88.76,5,9
4.5,100,120000,100,200,100,23.4,1248,74,5,8
11,100,80000,100,200,100,19.67,1582,126.2,5,5
10.8,100,30000,100,200,100,15.4,1997,120,7,5
5.3,200,66100,100,200,100,26,1498,98.6,5,8
6.8,100,50000,100,200,100,28.4,1248,74.02,5,5
10.25,200,42000,100,200,100,15.4,1997,120,7,5
6.5,100,55000,100,100,100,18.6,1197,81.83,5,5
